Designator,Mid X,Mid Y,Rotation,Layer
ANT1,167.660402,-130.995645,0.0,bottom
ANT2,167.246,-63.11712,180.0,bottom
C1,175.0,-102.0,180.0,bottom
C12,160.6,-97.13,0.0,top
C13,168.6,-101.13,180.0,bottom
C16,166.15,-93.13,180.0,bottom
C18,165.7,-100.5,225.0,bottom
C20,162.3,-104.1,45.0,bottom
C22,178.0,-105.7,270.0,top
C23,157.9,-103.63,90.0,bottom
C26,153.1,-103.4,270.0,top
C28,166.1,-91.38,180.0,bottom
C3,169.1,-89.13,180.0,top
C30,155.9,-103.63,90.0,bottom
C32,168.5,-102.88,0.0,bottom
C33,154.15,-103.63,90.0,bottom
C35,155.9,-100.63,270.0,bottom
C37,159.8,-93.88,180.0,bottom
C39,154.15,-100.63,270.0,bottom
C41,159.65,-92.13,180.0,bottom
C43,166.15,-89.5,0.0,bottom
C46,167.61,-87.88,0.0,bottom
C48,170.9,-87.88,0.0,bottom
C5,160.4,-89.13,180.0,top
C50,181.4,-89.3,0.0,top
C51,171.9,-106.38,180.0,bottom
C54,168.65,-106.38,180.0,bottom
C55,168.6,-104.63,0.0,bottom
C58,154.65,-98.13,180.0,bottom
C60,162.9,-93.88,180.0,bottom
C62,153.9,-96.38,180.0,bottom
C63,156.9,-96.38,180.0,bottom
C65,162.9,-92.13,180.0,bottom
C67,156.9,-86.88,90.0,top
C7,174.65,-89.13,0.0,top
C70,156.9,-94.63,180.0,bottom
C72,154.15,-92.88,0.0,bottom
C9,163.9,-90.9,270.0,top
J1,155.63,-90.38,270.0,top
J10,173.42,-65.6,270.0,top
J11,153.8,-120.72,180.0,top
J13,161.46,-108.2,270.0,top
J14,173.44,-108.2,270.0,top
J15,177.4,-86.755,180.0,top
J2,181.1,-73.14,180.0,top
J4,181.1,-120.72,180.0,top
J5,173.46,-128.2,270.0,top
J6,161.405,-86.38,270.0,top
J7,161.46,-128.2,270.0,top
J8,161.46,-65.8,270.0,top
J9,153.785,-73.14,180.0,top
LED1,180.65,-108.63,90.0,top
LED4,153.9,-109.3,90.0,top
LED6,180.9,-84.13,270.0,top
LED7,154.4,-84.13,270.0,top
Q2,174.2,-88.5,0.0,bottom
R1,172.1,-87.38,180.0,top
R11,167.65,-86.13,180.0,bottom
R14,167.15,-108.3,0.0,bottom
R4,173.65,-86.13,180.0,bottom
R5,171.8,-90.6,180.0,bottom
R8,181.0,-87.25,270.0,bottom
R9,156.1,-93.6,0.0,top
TP10,156.5,-106.3,0.0,top
TP11,156.4,-97.8,0.0,top
TP14,156.4,-102.0,0.0,top
TP16,156.4,-104.1,0.0,top
TP17,161.0,-90.7,0.0,bottom
TP2,166.4,-98.3,0.0,bottom
TP20,156.9,-92.58,0.0,bottom
TP4,166.7,-96.1,0.0,bottom
TP6,156.4,-95.7,0.0,top
TP7,156.4,-99.9,0.0,top
U11,168.6,-99.38,0.0,bottom
U13,166.2,-94.63,180.0,bottom
U15,160.334315,-99.046548,225.0,bottom
U17,154.15,-94.63,0.0,bottom
U2,174.25,-98.38,0.0,bottom
U4,161.15,-92.38,180.0,top
U5,172.0,-96.88,270.0,top
U8,173.0,-93.38,180.0,bottom
U9,161.1,-99.38,0.0,top
X1,164.0,-102.3,135.0,bottom
